Var1	Freq
1	22
2	22
3	18
4	17
5	21
6	23
7	23
8	22
9	17
10	15
11	7
12	15
13	16
14	7
15	14
16	12
17	16
18	13
19	9
20	12
21	11
22	12
23	5
24	11
25	4
26	4
27	2
28	6
29	5
30	11
31	8
32	6
33	6
34	6
35	4
36	11
37	7
38	4
39	6
40	4
41	1
42	3
43	4
44	2
45	5
46	5
47	2
48	6
49	3
50	5
51	6
52	3
53	5
54	5
55	4
56	6
57	1
58	3
59	6
60	3
61	4
63	6
64	5
65	3
66	3
68	10
69	3
70	1
71	1
72	3
73	4
75	3
76	4
77	2
78	2
79	1
80	1
81	4
82	1
83	3
84	2
85	3
87	2
88	1
89	4
91	1
92	1
95	1
96	2
97	2
98	2
99	1
100	1
102	2
103	2
104	3
105	1
107	2
111	1
114	1
119	1
122	1
123	2
128	1
131	1
132	2
135	2
139	1
143	1
148	1
149	1
151	2
156	1
163	1
165	1
166	2
167	1
168	1
181	1
182	1
184	1
186	1
187	1
188	1
190	1
197	1
202	3
206	1
214	2
220	1
226	1
250	1
255	1
260	1
268	1
274	1
298	1
301	1
326	1
339	1
349	1
460	1
541	1
